annee;id_museofile;region;commune;nom_du_musee;titre_de_l_exposition;departement;url;coordonnees
2019;M0364;Île-de-France;Paris;musée d'Art et d'Histoire du Judaïsme;Helena Rubinstein. L’aventure de la Beauté;Paris;www.mahj.org/;48.86095, 2.355608
2019;M0488;Occitanie;Céret;musée d'art moderne;André Masson, une mythologie del'être et de la nature;Pyrénées-Orientales;www.musee-ceret.com/;42.485799, 2.74849
2019;M0472;Occitanie;Lattes;musée archéologique;L’aventure phocéenne. Grecs, Ibères et Gaulois en Mediterranée nord - occidentale;Hérault;museearcheo.montpellier3m.fr/;43.566659, 3.90858
2018;M0321;Grand-Est;Langres;musée d'art et d'histoire;Langres à la Renaissance;Haute-Marne;www.musees-langres.fr/;47.865268, 5.333286
2018;M0617;Hauts-de-France;Cassel;musée départemental de Flandre;Entre Rubens et Van Dyck : Gaspar De Crayer;Nord;museedeflandre.fr/;50.799755, 2.48621
2017;M0346;Bourgogne-Franche-Comté;Lons-le-Saunier;musée d'archéologie;Bric-à-brac pour les Dieux ? Les dépôts d’objets métalliques à l’âge du Bronze;Jura;www.lonslesaunier.fr/les-musees/musee-darcheologie/;46.684566, 5.579336
2017;M1199;Bourgogne-Franche-Comté;Saint-Léger-sous-Beuvray;musée de Bibracte;Mont Beuvray, La Champagne celte;Saône-et-Loire;www.bibracte.fr/;46.934539, 4.062979
2017;M0014;Grand-Est;Strasbourg;musée alsacien;Laboratoire d'Europe, Strasbourg,  1880-1930;Bas-Rhin;www.musees.strasbourg.eu/musee-alsacien;48.579075, 7.750484
2017;M0563;Occitanie;Toulouse;musée Saint-Raymond;Rituels grecs, une expérience sensible;Haute-Garonne;saintraymond.toulouse.fr/;43.608897, 1.441776
2017;M7049;Pays-de-la-Loire;Nantes;muséum d'histoire naturelle;Eternité, rêve humain et réalité de la science;Loire-Atlantique;museum.nantesmetropole.fr/;47.212385, -1.564652
2016;M0994;Auvergne-Rhône-Alpes;Grenoble;musée de Grenoble;Kandinsky, les années parisiennes (1933-1944);Isère;www.museedegrenoble.fr/;45.194026, 5.732094
2016;M0657;Normandie;Caen;musée des beaux-arts;Frits Thaulow;Calvados;mba.caen.fr/;49.18615122825814, -0.36122381941157106
2015;M0271;Centre-Val-de-Loire;Blois;château musées;Trésors royaux, la bibliothèque de François Ier;Loir-et-Cher;www.chateaudeblois.fr/2120-le-musee.htm;47.585598, 1.331665
2015;M0476;Occitanie;Montpellier;musée Fabre;L’âge d’or de la peinture à Naples;Hérault;museefabre.montpellier3m.fr/;43.61135, 3.880685
2015;M0915;Provence-Alpes-Côte d’Azur;Marseille;musée Cantini (commissariat) et Centre de la Vieille Charité (lieu d’exposition);Futurs, Matisse, Miro, Calder.;Bouches-du-Rhône;musees.marseille.fr/musee-cantini-0;43.292383, 5.378137
2014;M0212;Bretagne;Rennes;musée de Bretagne;Terre Neuve, Terre neuvas;Ille-et-Vilaine;www.musee-bretagne.fr/;48.105455, -1.674922
2014;M0311;Grand-Est;Reims;musée des beaux-arts de Saint-Denis;1910-1925 : la Paix ? Front et coulisse de l'art allemand;Marne;musees-reims.fr/fr/musees/musee-des-beaux-arts/;49.253442, 4.030921
2014;M0629;Hauts-de-France;Lille;musée des beaux-arts;Sésostris III le pharaon conquérant;Nord;pba.lille.fr/;50.621132, 3.068387
2014;M0729;Normandie;Rouen;musée des beaux-arts;Cathédrales, 1789-1914 : un mythe moderne;Seine-Maritime;mbarouen.fr/fr;49.444957582036025, 1.093907740011714
2014;M0744;Pays-de-la-Loire;Nantes;musée du Château des Ducs de Bretagne;Samouraïs, mythes et réalités;Loire-Atlantique;www.chateaunantes.fr/;47.216353, -1.549389
2024;M0137;Bourgogne Franche-Comté;Dijon;musée des beaux-arts;Maîtres et merveilles. Peintures germaniques des collections françaises (1370-1530);Côte-d'Or;beaux-arts.dijon.fr/;47.321356, 5.042873
2024;M0212;Bretagne;Rennes;musée de Bretagne;Mourir, quelle histoire !;Ille-et-Vilaine;www.musee-bretagne.fr/;48.105455, -1.674922
2024;M0028;Grand-Est;Colmar;musée Unterlinden;COULEUR, GLOIRE ET BEAUTÉ. Peintures germaniques des collections françaises (1420-1536);Haut-Rhin;www.musee-unterlinden.com/;48.079918, 7.355464
2024;M0533;Grand-Est;Sarreguemines;musée de la faïence;L’art déco s’invite à table;Moselle;www.sarreguemines-museum.fr;49.109069, 7.070473
2024;M5052;Hauts-de-France;Chantilly;musée Condé;André Charles Boulle;Oise;musee-conde.fr/fr/;49.19413375188932, 2.485123295821842
2024;M0082;Nouvelle-Aquitaine;Montfort-en-Chalosse;musée des arts et traditions populaires de la Chalosse;Lise Deharme, la femme surréaliste;Landes;www.museedelachalosse.fr/;43.715749, -0.833916
2023;M0988;Auvergne-Rhône-Alpes;Valence;musée des beaux-arts;L’Univers sans l’homme;Drôme;www.museedevalence.fr/;44.931125, 4.889563
2023;M0137;Bourgogne Franche-Comté;Dijon;musée des beaux-arts;A portée d'Asie. Collectionneurs, collecteurs et marchands d'art asiatique en France. 1750-1939;Côte-d'Or;beaux-arts.dijon.fr/;47.321356, 5.042873
2023;M0307;Grand-Est;Châlons-en-Champagne;musée municipal;No Animo Mas Anima. Adieu aux bêtes de cirque ?;Marne;www.chalonsenchampagne.fr/culture/musees;48.956391, 4.364203
2023;M0744;Pays-de-la-Loire;Nantes;musée du Château des Ducs de Bretagne;Gengis Khan, Les Mongols ont changé le monde;Loire-Atlantique;www.chateaunantes.fr/;47.216353, -1.549389
2023;M0914;Provence-Alpes-Côte d’Azur;Marseille;musée des arts décoratifs, de la faïence et de la mode;L’Asie fantasmée, Histoires d’exotisme dans les arts décoratifs en Provence aux XVIIIe et XIXe siècles;Bouches-du-Rhône;musees.marseille.fr/chateau-borely-musee-des-arts-decoratifs-de-la-faience-et-de-la-mode;43.258599, 5.384175
2022;M0512;Grand-Est;Nancy;musée des beaux-arts;Architectures impossibles;Meurthe-et-Moselle;musee-des-beaux-arts.nancy.fr/accueil-145.html;48.693507, 6.182435
2022;M0389;Île-de-France;Mantes-la-Jolie;musée de l'hôtel-Dieu;Alphonse Durand (1813-1882), une vie au service des monuments;Yvelines;www.manteslajolie.fr/MUSEE%20DE%20LHOTELDIEU;48.990874, 1.719901
2022;M0818;Nouvelle-Aquitaine;Angoulême;musée des beaux-arts;Tarz. Broder au Maroc, hier et aujourd’hui;Charente;maam.angouleme.fr/;45.6493, 0.152569
2022;M0065;Nouvelle-Aquitaine;Bordeaux;musée des beaux-arts;Rosa Bonheur (1822-1899), le regard animal;Gironde;/www.musba-bordeaux.fr/;44.838056, -0.579413
2022;M0505;Nouvelle-Aquitaine;Limoges;musée des Beaux-Arts de Limoges – Palais de l'Évêché;Tout un monde de lumières. Les vitraux de Francis Chigot et de son atelier;Haute-Vienne;www.museebal.fr/;45.828784, 1.265445
2022;M0918;Provence-Alpes-Côte d’Azur;Marseille;musée d'histoire de Marseille;Le pillage archéologique et le trafic des biens culturels en France et dans le bassin méditerranéen;Bouches-du-Rhône;musees.marseille.fr/musee-dhistoire-de-marseille-mhm;43.298168, 5.374162
2021;M1031;Auvergne-Rhône-Alpes;Lyon;musée des beaux-arts;Hippolyte, Paul et Auguste Flandrin;Rhône;www.mba-lyon.fr/fr;45.767177, 4.833576
2021;M0019;Grand-Est;Strasbourg;musée des beaux-arts;Jean-Jacques Henner (1829-1905). La chair et l'idéal;Bas-Rhin;www.musees.strasbourg.eu/musee-des-beaux-arts;48.581229, 7.751984
2021;M0729;Normandie;Rouen;musée des beaux-arts;Salammbô;Seine-Maritime;mbarouen.fr/fr;49.444957582036025, 1.093907740011714
2020;M0165;Bourgogne-Franche-Comté;Chalon-sur-Saône;musée Vivant Denon;Miroir du prince. La Commande artistique de hauts dignitaires bourguignons (1425-1510);Saône-et-Loire;www.museedenon.com/;46.78105, 4.853082
2020;M0348;Bourgogne-Franche-Comté;Moirans–en-Montagne;musée du jouet;Jouons sport !;Jura;www.musee-du-jouet.com/;46.433004, 5.726307
2020;M0307;Grand-Est;Châlons-en-Champagne;musée municipal;Léon Bourgeois;Marne;www.chalonsenchampagne.fr/culture/musees;48.956391, 4.364203
2020;M0514;Grand-Est;Nancy;musée historique lorrain;La sculpture en héritage, les Adam, une dynastie lorraine;Meurthe-et-Moselle;www.musee-lorrain.nancy.fr/;48.697316, 6.179154
2020;M0639;Hauts-de-France;Villeneuve d'Ascq;LaM musée d’art moderne, d’art contemporain et d’art brut;William Kentridge, Rétrospective – Un poème dont je ne me souviens plus;Nord;www.musee-lam.fr/fr;50.637497, 3.148587
2020;M0677;Normandie;Cherbourg-en-Cotentin;musée Thomas-Henry;En terre inconnue. Voyages d'artistes en Cotentin (1858 - 1950);Manche;www.cherbourg.fr/infos-services/culture-et-loisirs/musees/musee-thomas-henry-318.html;49.638452, -1.625439
2020;M0065;Nouvelle-Aquitaine;Bordeaux;musée des beaux-arts;ABSOLUTELY BIZARRE. La drôle d’histoire de l’Ecole de Bristol (1800-1840);Gironde;/www.musba-bordeaux.fr/;44.838056, -0.579413
2020;M0933;Provence-Alpes-Côte d’Azur;Draguignan;musée des beaux-arts;Autour du Giaour et du Pacha de Lord Byron;Var;www.ville-draguignan.fr/actionmunicipale/culture;43.537982, 6.464818
2019;M0339;Bourgogne-Franche-Comté;Ornans;musée Gustave Courbet;Courbet, un peintre pour les peintre : Yan Pei-Ming face à Courbet;Doubs;www.musee-courbet.fr/;47.104874, 6.147697
2019;M0284;Centre-Val-de-Loire;Montargis;musée Girodet;Girodet face à Géricault :  le salon 1819;Loiret;www.musee-girodet.fr/;47.997528, 2.737205
2019;M0776;Pays-de-la-Loire;La Roche-sur-Yon;musée municipal;Dans l’intimité d’un empereur… Napoléon Ier, l’époux, le père, l’amant;Vendée;www.larochesuryon.fr/musee/;46.669265, -1.428828
2018;M0307;Grand-Est;Châlons-en-Champagne;musée municipal;Acrobates;Marne;www.chalonsenchampagne.fr/culture/musees;48.956391, 4.364203
2018;M0303;Grand-Est;Troyes;musée des beaux-arts et d'archéologie;Les Sénons, histoire et archéologie d’un peuple gaulois;Aube;www.musees-troyes.com;48.300638, 4.08003
2018;M0733;Normandie;Rouen;musée des antiquités de la Seine-Maritime;Savants et croyants, les juifs d’Europe du Nord au Moyen-Age;Seine-Maritime;museedesantiquites.fr/fr;49.447268, 1.098932
2018;M7013;Occitanie;Toulouse;museum d'histoire naturelle;Île de Pâques ,  Le Nombril Du Monde ?;Haute-Garonne;www.museum.toulouse.fr/;43.594189, 1.448945
2017;M0161;Bourgogne-Franche-Comté;Autun;musée Rolin;Eve ou la folle tentation;Saône-et-Loire;www.museerolin.fr/node/132;46.945723, 4.299216
2017;M0347;Bourgogne-Franche-Comté;Dole;musée des beaux-arts et d'archéologie;Jules  Adler (1865-1952). Peindre sous la République;Jura;www.doledujura.fr/musee-des-beaux-arts/;47.089059, 5.488205
2017;M1177;Hauts-de-France;Calais;cité internationale de la dentelle et de la mode;Hubert de Givenchy;Pas-de-Calais;www.cite-dentelle.fr/fr/accueil;50.950474, 1.860013
2017;M0719;Normandie;Le Havre;musée du prieuré de Graville;De Louis XI à François Ier. La Renaissance flamboyante d'un amiral havrais;Seine-Maritime;www.lehavre.fr/annuaire/abbaye-de-graville;49.503006, 0.168325
2017;M0491;Occitanie;Perpignan;musée Hyacinhe Rigaud;Picasso – Perpignan 1953 - 1955;Pyrénées-Orientales;www.musee-rigaud.fr/fr;42.698013, 2.892984
2016;M0265;Centre-Val-de-Loire;Tours;musée des beaux-arts;Martin de Tours;Indre-et-Loire;mba.tours.fr;47.394698, 0.694004
2016;M0323;Grand-Est;Saint-Dizier;musée municipal;Le royaume mérovingien oublié. Austrasie;Haute-Marne;www.saint-dizier.fr/sport-culture-loisirs/culture-et-musique/musee-de-saint-dizier.html;48.63804122933198, 4.948277733396815
2016;M0677;Normandie;Cherbourg-en-Cotentin;musée Thomas-Henry;Félix Buhot (1847-1898) peintre d’atmosphères;Manche;www.cherbourg.fr/infos-services/culture-et-loisirs/musees/musee-thomas-henry-318.html;49.638452, -1.625439
2016;M0729;Normandie;Rouen;musée des beaux-arts;Scène de la vie impressionniste;Seine-Maritime;mbarouen.fr/fr;49.444957582036025, 1.093907740011714
2016;M0064;Nouvelle-Aquitaine;Bordeaux;musée des beaux-arts;Le nu, l’ivresse et la danse dans l’art français du XIXe siècle;Gironde;www.musee-aquitaine-bordeaux.fr/;44.835543, -0.575205
2016;M0476;Occitanie;Montpellier;musée Fabre;Frédéric Bazille, la jeunesse et l’impressionnisme;Hérault;museefabre.montpellier3m.fr/;43.61135, 3.880685
2015;M1031;Auvergne-Rhône-Alpes;Lyon;musée des beaux-arts;La Renaissance de Lyon;Rhône;www.mba-lyon.fr/fr;45.767177, 4.833576
2015;M0016;Grand-Est;Strasbourg;musée d'art moderne et contemporain;Tristan Tzara, l’Homme approximatif, poète, écrivain d’art et collectionneur »;Bas-Rhin;www.musees.strasbourg.eu/musee-d-art-moderne-et-contemporain;48.579654, 7.736231
2015;M0629;Hauts-de-France;Lille;musée des beaux-arts;Joie de vivre;Nord;pba.lille.fr/;50.621132, 3.068387
2015;M0852;Nouvelle-Aquitaine;Poitiers;musée Sainte-Croix;Engagements : collectionner/partager;Vienne;www.poitiers.fr/c__231_977__Accueil_musee_Sainte_Croix.html;46.581142, 0.344434
2015;M0837;Nouvelle-Aquitaine;Saintes;musée de l'Échevinage;Jean Geoffroy, une œuvre de généreuse humanité;Charente-Maritime;www.ville-saintes.fr/decouvrir-sortir/culture/musees/;45.745991, -0.633096
2015;M0744;Pays-de-la-Loire;Nantes;musée du Château des Ducs de Bretagne;Tromelin, l’île des esclaves oubliés;Loire-Atlantique;www.chateaunantes.fr/;47.216353, -1.549389
2014;M0214;Bretagne;Saint-Malo;musée d'histoire de la ville et d'ethnographie du pays malouin;Terre Neuve, Terre neuvas;Ille-et-Vilaine;www.ville-saint-malo.fr/listes/le-musee-dhistoire-maritime-de-saint-malo/;48.650738, -2.023727
2014;M0324;Corse;Ajaccio;musée palais Fesch;La peinture en Lombardie au XVIIe siècle. Le culte du morbide et l’idéal de beauté;Corse-du-Sud;www.musee-fesch.com/;41.922406, 8.738487
2014;M0302;Grand-Est;Troyes;musée d'art moderne;Les tapisseries de Chagall;Aube;www.musees-troyes.com/art-moderne/;48.299643, 4.080736
2014;M0639;Hauts-de-France;Villeneuve d'Ascq;LaM musée d’art moderne, d’art contemporain et d’art brut;L'autre de l'art. Primitivismes et contre-cultures;Nord;www.musee-lam.fr/fr;50.637497, 3.148587
2024;M1031;Auvergne-Rhône-Alpes;Lyon;musée des beaux-arts;Zurbaran. Une icône du Siècle d’Or;Rhône;www.mba-lyon.fr/fr;45.767177, 4.833576
2024;M0265;Centre-Val-de-Loire;Tours;musée des beaux-arts;Le Sceptre et la Quenouille. Être femme entre Moyen âge et Renaissance;Indre-et-Loire;mba.tours.fr;47.394698, 0.694004
2024;M0364;Île-de-France;Paris;musée d'Art et d'Histoire du Judaïsme;Le Dibbouk, théâtre, cinéma et âmes errantes;Paris;www.mahj.org/;48.86095, 2.355608
2024;M0431;Île-de-France;Vitry-sur-Seine;musée d'art contemporain du Val-de-Marne;Le fait divers : Une hypothèse en 26 lettres, 5 équations et aucune réponse;Val-de-Marne;www.macval.fr/;48.792821, 2.387072
2024;M0822;Nouvelle-Aquitaine;Cognac;musée municipal du Cognac;François Ier, un roi cognaçais;Charente;les-distillateurs-culturels.fr;45.695744, -0.326186
2024;M0894;Provence-Alpes-Côte d’Azur;Aix-en-Provence;musée Granet;Jean Daret Peintre du roi en Provence;Bouches-du-Rhône;https://www.museegranet-aixenprovence.fr/accueil;43.494315, 5.410889
2023;M0537;Grand-Est;Épinal;musée de l'image;Plein la vue ! Jeux et illusions d’optique dans l’imagerie populaire;Vosges;museedelimage.fr/;48.183628, 6.445992
2023;M0661;Normandie;Honfleur;musée Eugène Boudin;Esclavage, mémoires normandes : D’une terre à l’autre;Calvados;www.musees-honfleur.fr;49.42241758787357, 0.2308667345641918
2023;M0728;Normandie;Notre-Dame-de-Bondeville;musée Industriel de la Corderie Vallois;Esclavage, mémoires normandes : L’envers d’une prospérité;Seine-Maritime;corderievallois.fr/fr;49.494507, 1.048567
2023;M0077;Nouvelle-Aquitaine;Dax;musée de Borda;D Génération – Gischia et ses amis : 1930 – 1963;Landes;www.dax.fr/fiche-annuaire/musee-de-borda/;43.710655, -1.054061
2023;M0742;Pays-de-la-Loire;Le Pallet;musée du Vignoble Nantais;Héloïse et Abélard : l’invention d’un mythe;Loire-Atlantique;www.musee-vignoble-nantais.eu/accueil/;47.134414, -1.329883
2023;M0884;Provence-Alpes-Côte d’Azur;Nice;musée Matisse;Matisse cahiers d’art. Le tournant des années 1930;Alpes-Maritimes;www.musee-matisse-nice.org/fr/;43.720041, 7.276769
2022;M0347;Bourgogne Franche-Comté;Dole;musée des beaux-arts et d'archéologie;Prendre soin;Jura;www.doledujura.fr/musee-des-beaux-arts/;47.089059, 5.488205
2022;M5052;Hauts-de-France;Chantilly;musée Condé;Albrecht Dürer, gravure et Renaissance;Oise;musee-conde.fr/fr/;49.19413375188932, 2.485123295821842
2022;M1171;Île-de-France;Meaux;musée de la Grande Guerre;Tranchées // Le « système tranchée »;Seine-et-Marne;www.museedelagrandeguerre.com/;48.955281, 2.901461
2022;M7059;Martinique;Saint-Pierre de la Martinique;musée Frank A. Perret - mémorial de la catastrophe de 1902;Le Souffle de Saint-Pierre - Mémoires incandescentes;Martinique;saintpierre-martinique.fr/musee-franck-perret/;14.743103, -61.175994
2021;M7014;La Réunion;Saint-Denis de La Réunion;muséum d'histoire naturelle;Résonances : Pieter Boel, un artiste dans la ménagerie de Louis XIV;Réunion;www.departement974.fr/museum;-20.887712, 55.451452
2021;M7049;Pays-de-la-Loire;Nantes;muséum d'histoire naturelle;Du Blob aux IA, les intelligences différentes par nature;Loire-Atlantique;museum.nantesmetropole.fr/;47.212385, -1.564652
2020;M0161;Bourgogne-Franche-Comté;Autun;musée Rolin;Miroir du prince. L’Age d’or du mécénat à Autun (1425-1510);Saône-et-Loire;www.museerolin.fr/node/132;46.945723, 4.299216
2020;M0511;Grand-Est;Lunéville;musée du château;La sculpture en son château. Variations sur un art majeur;Meurthe-et-Moselle;www.chateauluneville.meurthe-et-moselle.fr/;48.589446, 6.505708
2020;M1070;La Réunion;Saint-Gilles-les-Hauts;musée de Villèle;L'Etrange histoire de Furcy Madeleine;La Réunion;www.musee-villele.re/fr/;-21.055917761556145, 55.264409385729984
2020;M0658;Normandie;Caen;Musée de Normandie;Carnaval;Calvados;musee-de-normandie.caen.fr/;49.18578, -0.36257
2020;M0683;Normandie;Granville;musée Richard Anacréon;Carnaval;Manche;www.ville-granville.fr/a-voir-a-faire-a-granville/vie-culturelle-et-artistique/musee-dart-moderne-richard-anacreon/;48.838549, -1.600543
2020;M0562;Occitanie;Toulouse;musée des Augustins;Toulouse XIVe siècle : un âge d'or entre guerre et peste ?;Haute-Garonne;www.augustins.org/fr/accueil;43.600562, 1.445904
2020;M0888;Provence-Alpes-Côte d’Azur;Nice;musée d'art moderne et d'art contemporain;She-Bam Pow POP Wizz;Alpes-Maritimes;www.mamac-nice.org/fr/;43.701774652556004, 7.278984299489203
2019;M1023;Auvergne-Rhône-Alpes;Saint-Étienne;musée d'art et d'industrie;Vendre de tout, être partout. CASINO;Loire;www.musee-art-industrie.saint-etienne.fr/;45.431538, 4.387485
2019;M0332;Bourgogne-Franche-Comté;Besançon;musée des beaux-arts et d'archéologie;Une des provinces du rococo. La Chine rêvée de François Boucher;Doubs;www.mbaa.besancon.fr/;47.240055, 6.022938
2019;M0820;Nouvelle-Aquitaine;Angoulême;"musée de la bande dessinée - centre national de la bande dessinée et de l'image";Mode et bande dessinée;Charente;www.citebd.org/;45.65559977477438, 0.15122268049296822
2018;M0189;Bourgogne-Franche-Comté;Sens;musée municipal (exposition co-produite avec le musée de Troyes);Les Sénons, histoire et archéologie d’un peuple gaulois;Yonne;www.musees-sens.fr/le-musee/;48.197828, 3.284505
2018;M0212;Bretagne;Rennes;musée de Bretagne;Rennes, les vies d'une ville;Ille-et-Vilaine;www.musee-bretagne.fr/;48.105455, -1.674922
2018;M1178;Grand-Est;Châlons-en-Champagne;musée du cloître de Notre-Dame-en-Vaux;Acrobates;Marne;www.chalonsenchampagne.fr/culture-et-tourisme/a-votre-service/musees-municipaux;48.956391, 4.364203
2018;M0308;Grand-Est;Châlons-en-Champagne;musée Garinet;Acrobates;Marne;www.chalonsenchampagne.fr/culture-et-tourisme/a-votre-service/musees-municipaux;48.955859, 4.366501
2017;M1052;Auvergne-Rhône-Alpes;Annecy;musée-château;Chine, art en mouvement;Haute-Savoie;musees.annecy.fr/;45.897263, 6.124916
2017;M7042;Auvergne-Rhône-Alpes;Lyon;musée des Confluences;Venenum, un monde empoisonné;Rhône;www.museedesconfluences.fr/;45.73319, 4.818042
2017;M0286;Centre-Val-de-Loire;Orléans;musée des beaux-arts;Jean-Baptiste Perronneau (v. 1715 – 1783), portraitiste de génie de l’Europe des Lumières;Loiret;www.orleans-metropole.fr/culture/musees-expositions/le-musee-des-beaux-arts;47.901573, 1.90861
2017;M0629;Hauts-de-France;Lille;musée des beaux-arts;Jean-François Millet et Millet USA – Icone vs Icon;Nord;pba.lille.fr/;50.621132, 3.068387
2017;M0650;Hauts-de-France;Saint-Omer;musée de l'hôtel Sandelin;Shakespeare romantique;Pas-de-Calais;www.musees-saint-omer.fr/;50.749007, 2.254521
2017;M0364;Île-de-France;Paris;musée d'Art et d'Histoire du Judaïsme;Golems. Avatars d'une légende d'argile;Paris;www.mahj.org/;48.86095, 2.355608
2017;M0064;Nouvelle-Aquitaine;Bordeaux;musée d'Aquitaine;L'Archéologie à Grande Vitesse. 50 sites fouillés entre Tours et Bordeaux;Gironde;www.musee-aquitaine-bordeaux.fr/;44.835543, -0.575205
2017;M0743;Pays-de-la-Loire;Nantes;musée des beaux-arts;Nicolas Régnier, La poétique de la séduction;Loire-Atlantique;museedartsdenantes.nantesmetropole.fr/home.html;47.219276, -1.547096
2016;M0821;Nouvelle-Aquitaine;Angoulême;musée archéologique et historique;Dinosaures, l'Europe au Crétacé inférieur, la dinomania;Charente;sahcharente.fr/;45.647813, 0.160838
2015;M7048;Grand-Est;Nancy;muséum-aquarium de Nancy;Ces animaux qu’on mange;Meurthe-et-Moselle;www.museumaquariumdenancy.eu/accueil/;48.695072, 6.188467
2015;M0388;Île-de-France;Jouy-en-Josas;musée de la toile de Jouy;Oberkampf 1738-1815 : les toiles de Jouy, une aventure humaine, industielle et artistique;Yvelines;www.museedelatoiledejouy.fr/;48.768986, 2.153216
2015;M0067;Nouvelle-Aquitaine;Bordeaux;CAPC-musée d'Art Contemporain;Alejandro Jodorowsky;Gironde;www.capc-bordeaux.fr;44.848186, -0.572137
2015;M7013;Occitanie;Toulouse;museum d'histoire naturelle;Les Savanturiers;Haute-Garonne;www.museum.toulouse.fr/;43.594189, 1.448945
2014;M7042;Auvergne-Rhône-Alpes;Lyon;musée des Confluences;Emile Guimet en héritage;Rhône;www.museedesconfluences.fr/;45.73319, 4.818042
2014;M0196;Bretagne;Saint-Brieuc;musée d'art et d'histoire;Terre Neuve, Terre neuvas;Côtes-d'Armor;www.saint-brieuc.fr/ville-dynamique/equipements-culturels/musee-dart-et-dhistoire/;48.512139, -2.762171
2014;M0615;Hauts-de-France;Cambrai;musée municipal;L'évolution du processus créatif de Jean Dewasne;Nord;www.villedecambrai.com/culture/le-musee-des-beaux-arts/;50.17347, 3.229635
2014;M1129;Occitanie;Rodez;musée Soulages;Outre noirs;Aveyron;musee-soulages-rodez.fr/;44.35313045450826, 2.5679787878647
